00000	0
00001	0
00002	1
00003	0
00004	1
00005	0
00006	1
00007	0
00008	1
00009	0
00010	1
00011	1
00012	1
00013	0
00014	0
00015	1
00016	1
00017	1
00018	0
00019	1
00020	1
00021	1
00022	1
00023	1
00024	0
00025	0
00026	0
00027	0
00028	0
00029	0
00030	1
00031	1
00032	1
00033	1
00034	1
00035	1
00036	0
00037	0
00038	0
00039	1
00040	1
00041	0
00042	0
00043	0
00044	0
00045	1
00046	0
00047	1
00048	1
00049	0
00050	0
00051	1
00052	1
00053	1
00054	0
00055	0
00056	1
00057	1
00058	0
00059	1
00060	0
00061	1
00062	1
00063	1
00064	1
00065	0
00066	1
00067	1
00068	0
00069	1
00070	0
00071	0
00072	1
00073	0
00074	1
00075	1
00076	0
00077	1
00078	1
00079	1
00080	0
00081	1
00082	0
00083	1
00084	0
00085	0
00086	1
00087	1
00088	0
00089	0
00090	1
00091	0
00092	0
00093	1
00094	0
00095	1
00096	0
00097	0
00098	1
00099	1
00100	0
00101	0
00102	1
00103	1
00104	1
00105	1
00106	1
00107	1
00108	1
00109	0
00110	0
00111	1
00112	0
00113	0
00114	0
00115	1
00116	1
00117	1
00118	1
00119	1
00120	0
00121	1
00122	1
00123	0
00124	0
00125	1
00126	1
00127	0
00128	0
00129	1
00130	0
00131	1
00132	1
00133	0
00134	0
00135	1
00136	1
00137	0
00138	1
00139	0
00140	0
00141	0
00142	1
00143	1
00144	0
00145	1
00146	1
00147	0
00148	0
00149	0
00150	0
00151	0
00152	1
00153	1
00154	1
00155	0
00156	1
00157	1
00158	0
00159	0
00160	1
00161	0
00162	1
00163	0
00164	1
00165	0
00166	0
00167	1
00168	0
00169	0
00170	1
00171	0
00172	0
00173	1
00174	0
00175	0
00176	0
00177	0
00178	0
00179	0
00180	0
00181	0
00182	0
00183	0
00184	0
00185	1
00186	1
00187	0
00188	0
00189	0
00190	0
00191	0
00192	1
00193	0
00194	1
00195	0
00196	0
00197	1
00198	1
00199	0
00200	1
00201	0
00202	1
00203	0
00204	1
00205	1
00206	1
00207	1
00208	0
00209	0
00210	1
00211	1
00212	0
00213	0
00214	1
00215	0
00216	1
00217	1
00218	1
00219	1
00220	0
00221	1
00222	0
00223	1
00224	0
00225	1
00226	1
00227	1
00228	0
00229	1
00230	0
00231	0
00232	1
